i,tau_i,E_i
0,1.5736631731344254e-12,603.0558459304091
3,2.2877291749853826e-11,277.5061770803292
4,5.583444716412368e-11,147.7611256759641
5,1.3626986639024812e-10,63.00493054850666
6,3.3258100382782793e-10,265.2149734249846
8,1.9810373295537525e-09,225.68007775714926
9,4.834930870164403e-09,23.98944579624841
10,1.1800159527803728e-08,165.25191997907288
11,2.8799535840495412e-08,78.13910840321897
12,7.028830946511395e-08,87.66980876100591
13,1.715460441732811e-07,86.35884948473618
14,4.1867624211544404e-07,115.55846780052723
15,1.0218235958553936e-06,23.841704440724655
16,2.493868426283769e-06,111.7618367734574
17,6.086549334778952e-06,26.18233487032931
18,1.4854866605734407e-05,105.0983789143173
20,8.848384283167224e-05,124.76876258787497
21,0.00021595416544421933,51.21548652724973
22,0.000527058953140495,2.10760149919787
23,0.0012863430511476227,128.57043526198726
24,0.003139456099505231,54.2125451815283
25,0.0076621742480960375,72.24613241821334
26,0.018700345648228187,66.67832359395636
27,0.04564016897032901,162.05072743299425
28,0.11138965358309007,42.878430048964624
29,0.2718582162442729,175.91009652816257
30,0.6634986945568281,108.34963778081067
31,1.6193386529213978,173.5058024266163
32,3.952167041710273,128.2755685778177
33,9.645681153477106,158.41337264520172
34,23.541303779073413,101.31017606497372
35,57.455038664515556,97.48064010991125
36,140.2250911385555,65.54106973030487
37,342.2341476372569,55.276721516466836
38,835.2585893010408,7.798726012800921
39,2038.5368199453608,10.399829049079298
40,4975.264450438577,0.8904843264562019
41,12142.658454636765,3.1504023710319866
43,72328.4234571315,0.9158307225005653
44,176525.1578787661,0.3124935552846769
45,430828.2950836405,0.18963307105730293
46,1051481.964809524,0.5426820483306665
48,6263211.0663739,0.301262882600172
49,15286028.223399293,0.0007978044420988503
50,37307166.622733854,0.33050822412028513
51,91052081.09493487,0.2915256355721753
