x, y
162.63441945757342, 0.0002943613429554476
160.25073703242748, 0.0004843540692508906
157.69581246446856, 0.0007429983109939216
155.33823682142187, 0.001394941975998425
153.09806422264452, 0.002133242474795068
150.55280015010118, 0.004060748115663675
148.11107032073917, 0.008232880836055665
145.96616583716713, 0.014581191032494804
143.57564991458068, 0.031178683545410257
141.17547695541677, 0.06972923917527518
139.1286257120417, 0.1718951060903219
137.02382624305108, 0.41431334446562523
135.07001570265442, 1.2277531391854701
133.12265009168976, 3.3471493304610553
131.3130198080542, 9.772104842991181
129.3248199877479, 37.45431798427872
127.67528317047265, 153.06258962727054
125.50979772976999, 587.294956733946
123.87218825720991, 1763.5963695545624
122.16685873894565, 5061.676617531019
120.31016707024679, 15257.853210740235
118.80267983839684, 43450.52561700988
116.8142522274874, 118542.58339919522
115.35094560465662, 326776.9484278261
113.59642675024331, 924511.632260472
112.2751098389091, 2485878.093572058
110.85467664893163, 7393319.474240379
109.52305001841472, 19710516.522390302
108.0472776370275, 55350866.13037207
106.72602121058802, 163993649.15016446
105.27575413988507, 448550538.6835893
103.83234911531339, 1195179664.8015175
101.98222933038674, 3676803157.8011785
99.96102522374558, 10464904331.311079
98.62317284493811, 28297528365.807793
97.3625839170393, 78474660337.93059
96.08129192723771, 247455783718.91315
94.85329385476771, 683507645091.7716
93.59404546467258, 1995153987572.8389
92.40387472361869, 5468996577858.028
